z,zeta,as_scale,hmf,cooling_scale,T_min,score
10.0,3.0,0.8,ST,0.5,8000.0,0.0006003379303091181
10.0,3.1623330622689494,0.8,ST,0.5,8000.0,0.0007298663868695822
10.0,3.33345013223977,0.8,ST,0.5,8000.0,0.0008705056392820734
10.0,3.5138265215355418,0.8,ST,0.5,8000.0,0.0010203107319630455
10.0,3.703963261376446,0.8,ST,0.5,8000.0,0.0011770578416207798
10.0,3.9043884942934204,0.8,ST,0.5,8000.0,0.0013383608016333663
10.0,4.1156589411488556,0.8,ST,0.5,8000.0,0.0015017765740613827
10.0,4.338361447539279,0.8,ST,0.5,8000.0,0.0016648722786960781
10.0,4.573114613875481,0.8,ST,0.5,8000.0,0.0018253511284235476
10.0,4.820570513667911,0.8,ST,0.5,8000.0,0.0019810355500528938
10.0,5.0814165047902815,0.8,ST,0.5,8000.0,0.0021300262718670603
10.0,5.356377138752477,0.8,ST,0.5,8000.0,0.0022706486513458
10.0,5.389452332657201,0.8,ST,0.5,8000.0,0.0022864667513008263
10.0,5.646216173286171,0.8,ST,0.5,8000.0,0.0024015002221741033
10.0,5.9517386938335095,0.8,ST,0.5,8000.0,0.002521459238309461
10.0,6.273793349831704,0.8,ST,0.5,8000.0,0.0026296591096562722
10.0,6.613274712005288,0.8,ST,0.5,8000.0,0.002725532868731438
10.0,6.971125757213828,0.8,ST,0.5,8000.0,0.002808693455954313
10.0,7.3483404877573175,0.8,ST,0.5,8000.0,0.002879058267159891
10.0,7.745966692414836,0.8,ST,0.5,8000.0,0.0029366394697504837
10.0,8.165108856885828,0.8,ST,0.5,8000.0,0.0029816666572252235
10.0,8.606931231718361,0.8,ST,0.5,8000.0,0.0030145483486770023
10.0,9.072661066246061,0.8,ST,0.5,8000.0,0.0030357488819970366
10.0,9.563592017516726,0.8,ST,0.5,8000.0,0.003045856479089375
10.0,10.081087743681516,0.8,ST,0.5,8000.0,0.003045535828347951
10.0,10.626585691826111,0.8,ST,0.5,8000.0,0.0030354867863991116
10.0,11.20160109076529,0.8,ST,0.5,8000.0,0.003016429281768305
10.0,11.807731159891665,0.8,ST,0.5,8000.0,0.002989155643652095
10.0,12.446659545769569,0.8,ST,0.5,8000.0,0.0029543999264904433
10.0,13.120160998797505,0.8,ST,0.5,8000.0,0.0029129301125747106
10.0,13.830106302929654,0.8,ST,0.5,8000.0,0.0028654904062922655
10.0,14.578467472149546,0.8,ST,0.5,8000.0,0.002812787511463706
10.0,15.367323228130308,0.8,ST,0.5,8000.0,0.0027555077224235623
10.0,16.198864774296695,0.8,ST,0.5,8000.0,0.002694310403752029
10.0,17.07540188232742,0.8,ST,0.5,8000.0,0.002629820573480697
10.0,17.999369308004486,0.8,ST,0.5,8000.0,0.00256258775523885
10.0,18.973333554230518,0.8,ST,0.5,8000.0,0.002493170260377665
10.0,20.000000000000004,0.8,ST,0.5,8000.0,0.0024220656013605696
10.0,3.0,0.8,ST,0.5,10000.0,0.0004963590573516518
10.0,3.1623330622689494,0.8,ST,0.5,10000.0,0.0006086975014885184
10.0,3.33345013223977,0.8,ST,0.5,10000.0,0.0007317829841778764
10.0,3.5138265215355418,0.8,ST,0.5,10000.0,0.0008640099603873563
10.0,3.703963261376446,0.8,ST,0.5,10000.0,0.0010034792996015246
10.0,3.9043884942934204,0.8,ST,0.5,10000.0,0.0011480998164602875
10.0,4.1156589411488556,0.8,ST,0.5,10000.0,0.0012956863871394814
10.0,4.338361447539279,0.8,ST,0.5,10000.0,0.0014440235512968216
10.0,4.573114613875481,0.8,ST,0.5,10000.0,0.0015909853234487546
10.0,4.820570513667911,0.8,ST,0.5,10000.0,0.0017345253445320843
10.0,5.0814165047902815,0.8,ST,0.5,10000.0,0.001872828041969092
10.0,5.356377138752477,0.8,ST,0.5,10000.0,0.0020042686501899535
10.0,5.389452332657201,0.8,ST,0.5,10000.0,0.002019113078650605
10.0,5.646216173286171,0.8,ST,0.5,10000.0,0.002127458357557847
10.0,5.9517386938335095,0.8,ST,0.5,10000.0,0.002241258685824
10.0,6.273793349831704,0.8,ST,0.5,10000.0,0.0023447662495440333
10.0,6.613274712005288,0.8,ST,0.5,10000.0,0.00243735215158815
10.0,6.971125757213828,0.8,ST,0.5,10000.0,0.002518558522165936
10.0,7.3483404877573175,0.8,ST,0.5,10000.0,0.002588213936533972
10.0,7.745966692414836,0.8,ST,0.5,10000.0,0.002646240294788658
10.0,8.165108856885828,0.8,ST,0.5,10000.0,0.002692769719299505
